window,n_seeds,leak_mean,leak_std,reach_mean,reach_std,note
1,3,0.0150,0.0041,13.2,3.9,local (causal)
2,3,0.0331,0.0042,16.9,1.2,
4,3,0.1526,0.0052,28.1,0.7,
8,3,0.1642,0.1402,31.6,0.5,high-variance point (one seed spiked)
inf,3,0.1597,0.0272,31.4,0.0,global
